source_file,name,shop_id,rating,review_count,avg_price,category,area,recommended_dishes,has_group_buy,has_promotion,detail_url
debug_page_4.html,宴心望湖·南京菜(九龙湖滨天地店),H4DGqvP0y8pQTbdg,4.0星,5167,￥73,淮扬菜,九龙湖滨天地,石锅养生豆腐 | 金牌脆皮乳鸽 | 特色黄焖三丝盅,是,否,https://www.dianping.com/shop/H4DGqvP0y8pQTbdg
debug_page_4.html,晶丽海鲜自助餐厅,k8kiP00RWZNojIDI,5.0星,24495,￥195,自助餐,玄武区,三文鱼 | 生蚝 | 晶丽糖排,是,否,https://www.dianping.com/shop/k8kiP00RWZNojIDI
debug_page_4.html,紫滇源云南生态菜(丹凤街店),G5Uq7Vxwj1e1bCgY,4.5星,8113,￥77,云南菜|滇菜,珠江路沿线,香茅草烤罗非鱼 | 柠檬手撕鸡 | 菠萝饭,是,否,https://www.dianping.com/shop/G5Uq7Vxwj1e1bCgY
debug_page_4.html,清真·西来顺牛肉拉面食府(小卫街店),l8BYSb6e7SIz3I2B,4.0星,8653,￥30,面馆,孝陵卫/森林摩尔,干切牛肉拉面 | 牛肉锅贴 | 红烧牛肉面,否,否,https://www.dianping.com/shop/l8BYSb6e7SIz3I2B
debug_page_4.html,食物招领,k53ky8aBEaX1geCv,4.5星,3468,￥26,快餐简餐,珠江路沿线,盐酥鸡咖喱饭 | 免费的红茶 | 照烧鸡腿饭,否,否,https://www.dianping.com/shop/k53ky8aBEaX1geCv
debug_page_4.html,COMMUNE幻师(总统府1912店),H1UCgdwjOCxu0EBB,4.0星,7095,￥92,咖啡,珠江路沿线,红咖喱大虾意面 | 卡布奇诺 | 黑松露风干火腿披萨,是,是,https://www.dianping.com/shop/H1UCgdwjOCxu0EBB
debug_page_4.html,逆鳞(来凤街店),kazM5hx2HpzHL30w,5.0星,11724,￥141,日本料理,升州路/集庆路,烧肉丼 | 寿喜锅 | 厚炸豆腐,否,否,https://www.dianping.com/shop/kazM5hx2HpzHL30w
debug_page_4.html,禾牛社·和牛寿喜烧自助火锅(水游城店),H9quwmsKFvYSHiJB,4.0星,18784,￥132,自助餐,夫子庙/水游城,牛乳布丁 | 寿喜锅 | 和牛M3上脑,是,否,https://www.dianping.com/shop/H9quwmsKFvYSHiJB
debug_page_4.html,江南里·新浙菜(新百店),l2jSszKxHENc4UL3,4.5星,34989,￥80,浙菜,新街口地区,宋嫂鱼羹 | 鸡丝凉面 | 蛋黄鸡翅,是,否,https://www.dianping.com/shop/l2jSszKxHENc4UL3
debug_page_4.html,莎莎·麦克西 SALSA MEX(新街口店),HaHWhqBNnISMeyTO,5.0星,6331,￥89,西餐,新街口地区,孜然小牛柳芝士馅饼 | 南美青虾芒果沙拉（橙味千岛酱） | 烤鸡肉鲜蔬酸奶卷,是,否,https://www.dianping.com/shop/HaHWhqBNnISMeyTO
debug_page_4.html,悦舍食单(盘式甜品·大行宫店),G1qBPUaEAbL2JKqH,4.5星,3563,￥75,甜品,常府街/长白街,金萱乌龙 | 小蘑菇 | 冷泡白桃乌龙,是,否,https://www.dianping.com/shop/G1qBPUaEAbL2JKqH
debug_page_4.html,龙吟山房(青龙山庄店),k6dAEZk7tuQ3woTi,5.0星,5871,￥330,淮扬菜,江宁区,山房意境冷菜拼 | 淮扬拆烩鱼脸烩鱼翅 | 火山岩雪花牛排,是,否,https://www.dianping.com/shop/k6dAEZk7tuQ3woTi
debug_page_4.html,Gelateria di Orcia 奥尔恰(熙南里店),k5JHqmcOiIwhpy6z,5.0星,5510,￥26,冰淇淋,升州路/集庆路,西西里开心果冰淇淋 | 荔枝玫瑰 | 皮埃蒙特榛子冰淇淋,是,否,https://www.dianping.com/shop/k5JHqmcOiIwhpy6z
debug_page_5.html,老爷锅(新街口科巷店),k4DPGwReixFGk7Rq,4.5星,11964,￥66,小火锅,新街口地区,鱼籽福袋 | 人气卤肉饭 | 西米露,是,是,https://www.dianping.com/shop/k4DPGwReixFGk7Rq
debug_page_5.html,廣東阿生魚撈·斑魚海鮮粥火鍋(新街口店),G4Veb4scQd7vzokk,5.0星,16318,￥101,鱼火锅,新街口地区,0.5毫米斑鱼片 | 鱼汤 | 粥火锅,是,是,https://www.dianping.com/shop/G4Veb4scQd7vzokk
debug_page_5.html,南山翁新概念川菜(花园路店),G2pXVb8uL8DnBCf0,4.5星,8852,￥65,川菜馆,火车站/玄武湖,川味粉皮 | 传统毛血旺 | 菠萝咕咾肉,是,是,https://www.dianping.com/shop/G2pXVb8uL8DnBCf0
debug_page_5.html,米纸越南小馆(IFCX店),H7ZtxFpyIE344uTx,4.0星,18598,￥74,越南菜,新街口地区,越南鲜虾米纸卷 | 越南香茅烧肉 | 河内熟牛肉汤河粉,是,否,https://www.dianping.com/shop/H7ZtxFpyIE344uTx
debug_page_5.html,南京大牌档(鼓楼紫峰店),G2TRx2TnTbdoP6yT,4.0星,22376,￥72,南京/江浙菜,紫峰购物广场,美龄美颜粥 | 古法糖芋苗 | 天王烤鸭包,是,是,https://www.dianping.com/shop/G2TRx2TnTbdoP6yT
debug_page_5.html,幸福朝食部(新世界中心店),HaoNT2gkYQ7eO6jL,4.5星,3168,￥53,甜品,珠江路沿线,青梅气泡水 | 日本柚子千层 | 浮云卷,是,否,https://www.dianping.com/shop/HaoNT2gkYQ7eO6jL
debug_page_5.html,眷江南之小蓝鲸(王府大街店),H4lq3hfmHYFKqw3a,5.0星,13168,￥79,南京/江浙菜,新街口地区,鲶鱼粉皮 | 南瓜馒头 | 荠菜元子,是,是,https://www.dianping.com/shop/H4lq3hfmHYFKqw3a
debug_page_5.html,递酒烤场·东北烤肉(湛江路店),l6zw3kB9JnOYc2l7,5.0星,5160,￥85,融合烤肉,凤凰西街,东北香汁拉皮 | 烤五花肉 | 烤风干肠,是,是,https://www.dianping.com/shop/l6zw3kB9JnOYc2l7
debug_page_5.html,Wagas 沃歌斯(新街口金鹰店),kal3ygHBCOOM1Azz,3.5星,3266,￥81,西餐,新街口地区,煎牛肉能量Bowl | 胡萝卜蛋糕 | 香草鸡肉空心面,是,否,https://www.dianping.com/shop/kal3ygHBCOOM1Azz
debug_page_5.html,富临轩私房菜,k4yEGPCiaSTTlZwP,5.0星,1205,￥80,私房菜,东山镇,牛筋骨 | 黄记凉粉 | 银芽腰片,是,否,https://www.dianping.com/shop/k4yEGPCiaSTTlZwP
debug_page_5.html,丈母娘的饭局·新金陵菜(创始店),jJleivtjq3Ypuywo,4.5星,15971,￥79,家常菜,草场门/龙江,小龙虾 | 家烧猪肚鸡 | 鱼头泡饼,是,是,https://www.dianping.com/shop/jJleivtjq3Ypuywo
debug_page_5.html,蟹叁寳·蟹家宴·蟹黄捞饭(南京新街口店),G8oONlaes2ckKytv,4.0星,12372,￥99,创意菜,新街口地区,蟹黄捞饭 | 鸡汁蟹粉拌面 | 蟹粉虾仁面,是,否,https://www.dianping.com/shop/G8oONlaes2ckKytv
debug_page_5.html,竹里馆·淮扬菜·功夫茶(老门东店),l5ZkksNe9IaE7BvF,4.5星,9152,￥108,淮扬菜,夫子庙地区,竹里三杯鸡 | 荔浦芋头夹肉 | 竹里小炒,是,否,https://www.dianping.com/shop/l5ZkksNe9IaE7BvF
debug_page_5.html,三猫黑鱼花(南大店),H39wCbrxCMWHE5Qy,4.5星,8177,￥86,川菜馆,珠江路沿线,麻辣黑鱼花 | 渣渣土豆 | 冰粉,否,否,https://www.dianping.com/shop/H39wCbrxCMWHE5Qy
debug_page_5.html,国际青年会议酒店·鄉·全日餐厅(邺城路店),FManvjmsbd2w0lR9,4.5星,3873,￥153,自助餐,江东中路/河西大街,炙烤羊排拼盘 | 三文鱼 | 彩虹冰激凌,是,否,https://www.dianping.com/shop/FManvjmsbd2w0lR9
debug_page_6.html,味至小山南·时令鲜烧·南京私房菜(熙南里店),k3kaZ6lb71vp0Lwt,4.5星,4298,￥102,私房菜,升州路/集庆路,梅香松子焗小排 | 脆皮谷饲牛小腩 | 招牌红焖狮子头,是,是,https://www.dianping.com/shop/k3kaZ6lb71vp0Lwt
debug_page_6.html,美庐餐厅(中山陵店),l5JLjxpxLs2DAA7D,5.0星,855,￥200,私房菜,玄武区,牛肉粒 | 公馆狮子头 | 石锅跳水蛙,是,否,https://www.dianping.com/shop/l5JLjxpxLs2DAA7D
debug_page_6.html,金杏仁餐厅,l1QadWOvaoKEqHb9,4.0星,340,￥104,私房菜,君临紫金商业街,杨枝甘露 | 琥珀明虾球 | 鲍鱼红焖芦花鸡,是,否,https://www.dianping.com/shop/l1QadWOvaoKEqHb9
debug_page_6.html,山囿里·植物料理餐厅(南京首店),G6Md3O3rxRZeK17s,4.5星,589,￥163,私房菜,玄武区,金牌烤笋 | 普洱红烧肉 | 艾草发糕,是,否,https://www.dianping.com/shop/G6Md3O3rxRZeK17s
debug_page_6.html,脂肪-家庭厨房(莫愁店),l519fBK3ejaLFzS5,5.0星,2655,￥103,私房菜,莫愁湖/水西门,昂刺鱼炖锅 | 鸭舌啫啫煲 | 炸货拼盘,否,否,https://www.dianping.com/shop/l519fBK3ejaLFzS5
debug_page_6.html,品大三·经典淮扬菜(大行宫店),k22L7WHgXDvpTjJl,4.5星,7642,￥78,南京/江浙菜,常府街/长白街,石锅虎皮凤爪 | 特色小笼包 | 烧味双拼,是,是,https://www.dianping.com/shop/k22L7WHgXDvpTjJl
debug_page_6.html,花园一号(中央路店),G9V0J6i6aa8eaSuT,5.0星,2376,￥280,私房菜,山西路/湖南路,卡夫牛排 | 石锅海带花 | 红龙大虾,是,否,https://www.dianping.com/shop/G9V0J6i6aa8eaSuT
debug_page_6.html,上好余味·20年家庭厨房(新街口店),ESgfeYKnyRWgqNy6,3.5星,6336,￥80,私房菜,新街口地区,山楂话梅排骨 | 总裁炒饭 | 鱿鱼海鲜炒饭,否,否,https://www.dianping.com/shop/ESgfeYKnyRWgqNy6
debug_page_6.html,云几茶馆·私房菜(仙林金鹰店),H1KpYzy0trunGcux,4.5星,1461,￥163,私房菜,仙林大学城,云几特色炒饭 | 宫保虾仁 | 自制年糕黄鱼,是,否,https://www.dianping.com/shop/H1KpYzy0trunGcux
debug_page_6.html,富临轩私房菜,k4yEGPCiaSTTlZwP,5.0星,1205,￥80,私房菜,东山镇,牛筋骨 | 黄记凉粉 | 银芽腰片,是,否,https://www.dianping.com/shop/k4yEGPCiaSTTlZwP
